Driver,Year,RaceName,q_delta,fp3_delta,fp2_delta,fp1_delta,weighted_pace_delta,sessions_available,quali_position,pace_consistency,Constructor,constructor_avg_delta,FinishPosition,Relevance
MAG,2024,Saudi Arabian Grand Prix,,,,,0.0,4,13,0.0,Haas F1 Team,0.0,12,9
OCO,2024,Saudi Arabian Grand Prix,,,,,0.0,4,17,0.0,Alpine,0.0,13,8
SAR,2024,Saudi Arabian Grand Prix,,,,,0.0,4,19,0.0,Williams,0.0,14,7
ALO,2024,Saudi Arabian Grand Prix,,,,,0.0,4,4,0.0,Aston Martin,0.0,5,16
BOT,2024,Saudi Arabian Grand Prix,,,,,0.0,4,16,0.0,Kick Sauber,0.0,17,4
ZHO,2024,Saudi Arabian Grand Prix,,,,,0.0,4,20,0.0,Kick Sauber,0.0,18,3
PIA,2024,Saudi Arabian Grand Prix,,,,,0.0,4,5,0.0,McLaren,0.0,4,17
RUS,2024,Saudi Arabian Grand Prix,,,,,0.0,4,8,0.0,Mercedes,0.0,6,15
LEC,2024,Saudi Arabian Grand Prix,,,,,0.0,4,2,0.0,Ferrari,0.231,3,18
BEA,2024,Saudi Arabian Grand Prix,,,0.803,1.106,0.4621,4,11,0.1515,Ferrari,0.231,7,14
PER,2024,Saudi Arabian Grand Prix,,,,,0.0,4,3,0.0,Red Bull Racing,0.0,2,19
RIC,2024,Saudi Arabian Grand Prix,,,,,0.0,4,14,0.0,RB,0.0,16,5
TSU,2024,Saudi Arabian Grand Prix,,,,,0.0,4,10,0.0,RB,0.0,15,6
GAS,2024,Saudi Arabian Grand Prix,,,,,0.0,4,18,0.0,Alpine,0.0,20,1
VER,2024,Saudi Arabian Grand Prix,,,,,0.0,4,1,0.0,Red Bull Racing,0.0,1,20
STR,2024,Saudi Arabian Grand Prix,,,,,0.0,4,7,0.0,Aston Martin,0.0,19,2
HUL,2024,Saudi Arabian Grand Prix,,,,,0.0,4,15,0.0,Haas F1 Team,0.0,10,11
ALB,2024,Saudi Arabian Grand Prix,,,,,0.0,4,12,0.0,Williams,0.0,11,10
NOR,2024,Saudi Arabian Grand Prix,,,,,0.0,4,6,0.0,McLaren,0.0,8,13
HAM,2024,Australian Grand Prix,,,,,0.0,4,11,0.0,Mercedes,0.0,18,2
MAG,2024,Australian Grand Prix,,,,,0.0,4,14,0.0,Haas F1 Team,0.0,10,10
OCO,2024,Australian Grand Prix,,,,,0.0,4,16,0.0,Alpine,0.0,16,4
ALO,2024,Australian Grand Prix,,,,,0.0,4,7,0.0,Aston Martin,0.0,8,12
BOT,2024,Australian Grand Prix,,,,,0.0,4,13,0.0,Kick Sauber,0.0,14,6
ZHO,2024,Australian Grand Prix,,,,,0.0,4,19,0.0,Kick Sauber,0.0,15,5
PIA,2024,Australian Grand Prix,,,,,0.0,4,6,0.0,McLaren,0.0,4,16
RUS,2024,Australian Grand Prix,,,,,0.0,4,8,0.0,Mercedes,0.0,17,3
LEC,2024,Australian Grand Prix,,,,,0.0,4,4,0.0,Ferrari,0.0,2,18
RIC,2024,Australian Grand Prix,,,,,0.0,4,15,0.0,RB,0.0,12,8
PER,2024,Australian Grand Prix,,,,,0.0,4,3,0.0,Red Bull Racing,0.0,5,15
TSU,2024,Australian Grand Prix,,,,,0.0,4,10,0.0,RB,0.0,7,13
GAS,2024,Australian Grand Prix,,,,,0.0,4,18,0.0,Alpine,0.0,13,7
VER,2024,Australian Grand Prix,,,,,0.0,4,1,0.0,Red Bull Racing,0.0,19,1
SAI,2024,Australian Grand Prix,,,,,0.0,4,2,0.0,Ferrari,0.0,1,19
STR,2024,Australian Grand Prix,,,,,0.0,4,9,0.0,Aston Martin,0.0,6,14
HUL,2024,Australian Grand Prix,,,,,0.0,4,17,0.0,Haas F1 Team,0.0,9,11
ALB,2024,Australian Grand Prix,,,0.911,,0.2733,4,12,0.0,Williams,0.2733,11,9
NOR,2024,Australian Grand Prix,,,,,0.0,4,5,0.0,McLaren,0.0,3,17
HAM,2024,Japanese Grand Prix,,,,,0.0,4,7,0.0,Mercedes,1.875,9,12
MAG,2024,Japanese Grand Prix,,,12.5,,3.75,4,18,0.0,Haas F1 Team,1.875,13,8
OCO,2024,Japanese Grand Prix,,,,,0.0,4,15,0.0,Alpine,1.875,15,6
SAR,2024,Japanese Grand Prix,,,12.5,,3.75,4,19,0.0,Williams,1.875,17,4
ALO,2024,Japanese Grand Prix,,,12.5,,3.75,4,5,0.0,Aston Martin,3.75,6,15
BOT,2024,Japanese Grand Prix,,,,,0.0,4,13,0.0,Kick Sauber,0.0,14,7
ZHO,2024,Japanese Grand Prix,,,,,0.0,4,20,0.0,Kick Sauber,0.0,18,3
PIA,2024,Japanese Grand Prix,,,,,0.0,4,6,0.0,McLaren,0.0,8,13
RUS,2024,Japanese Grand Prix,,,12.5,,3.75,4,9,0.0,Mercedes,1.875,7,14
LEC,2024,Japanese Grand Prix,,,,,0.0,4,8,0.0,Ferrari,0.0,4,17
RIC,2024,Japanese Grand Prix,,,,1.5315,0.3063,4,11,0.0,RB,0.1532,19,2
PER,2024,Japanese Grand Prix,,,12.5,,3.75,4,2,0.0,Red Bull Racing,3.75,2,19
TSU,2024,Japanese Grand Prix,,,,,0.0,4,10,0.0,RB,0.1532,10,11
GAS,2024,Japanese Grand Prix,,,12.5,,3.75,4,17,0.0,Alpine,1.875,16,5
VER,2024,Japanese Grand Prix,,,12.5,,3.75,4,1,0.0,Red Bull Racing,3.75,1,20
SAI,2024,Japanese Grand Prix,,,,,0.0,4,4,0.0,Ferrari,0.0,3,18
STR,2024,Japanese Grand Prix,,,12.5,,3.75,4,16,0.0,Aston Martin,3.75,12,9
HUL,2024,Japanese Grand Prix,,,,,0.0,4,12,0.0,Haas F1 Team,1.875,11,10
ALB,2024,Japanese Grand Prix,,,,,0.0,4,14,0.0,Williams,1.875,20,1
NOR,2024,Japanese Grand Prix,,,,,0.0,4,3,0.0,McLaren,0.0,5,16
HAM,2024,Chinese Grand Prix,,,,,0.0,2,18,0.0,Mercedes,0.0,9,12
MAG,2024,Chinese Grand Prix,,,,,0.0,2,17,0.0,Haas F1 Team,0.0,16,5
OCO,2024,Chinese Grand Prix,,,,,0.0,2,13,0.0,Alpine,0.0,11,10
SAR,2024,Chinese Grand Prix,,,,,0.0,2,20,0.0,Williams,0.0,17,4
ALO,2024,Chinese Grand Prix,,,,,0.0,2,3,0.0,Aston Martin,0.0,7,14
BOT,2024,Chinese Grand Prix,,,,,0.0,2,10,0.0,Kick Sauber,0.0,20,1
ZHO,2024,Chinese Grand Prix,,,,,0.0,2,16,0.0,Kick Sauber,0.0,14,7
PIA,2024,Chinese Grand Prix,,,,,0.0,2,5,0.0,McLaren,0.0,8,13
RUS,2024,Chinese Grand Prix,,,,,0.0,2,8,0.0,Mercedes,0.0,6,15
LEC,2024,Chinese Grand Prix,,,,,0.0,2,6,0.0,Ferrari,0.0,4,17
RIC,2024,Chinese Grand Prix,,,,,0.0,2,12,0.0,RB,0.0,18,3
PER,2024,Chinese Grand Prix,,,,,0.0,2,2,0.0,Red Bull Racing,0.0,3,18
TSU,2024,Chinese Grand Prix,,,,,0.0,2,19,0.0,RB,0.0,19,2
GAS,2024,Chinese Grand Prix,,,,,0.0,2,15,0.0,Alpine,0.0,13,8
VER,2024,Chinese Grand Prix,,,,,0.0,2,1,0.0,Red Bull Racing,0.0,1,20
SAI,2024,Chinese Grand Prix,,,,,0.0,2,7,0.0,Ferrari,0.0,5,16
STR,2024,Chinese Grand Prix,,,,,0.0,2,11,0.0,Aston Martin,0.0,15,6
HUL,2024,Chinese Grand Prix,,,,,0.0,2,9,0.0,Haas F1 Team,0.0,10,11
ALB,2024,Chinese Grand Prix,,,,,0.0,2,14,0.0,Williams,0.0,12,9
NOR,2024,Chinese Grand Prix,,,,,0.0,2,4,0.0,McLaren,0.0,2,19
HAM,2024,Miami Grand Prix,,,,,0.0,2,7,0.0,Mercedes,0.0,6,15
MAG,2024,Miami Grand Prix,,,,,0.0,2,19,0.0,Haas F1 Team,0.0,19,2
OCO,2024,Miami Grand Prix,,,,,0.0,2,13,0.0,Alpine,0.0,10,11
SAR,2024,Miami Grand Prix,,,,,0.0,2,17,0.0,Williams,0.0,20,1
ALO,2024,Miami Grand Prix,,,,,0.0,2,15,0.0,Aston Martin,0.0,9,12
BOT,2024,Miami Grand Prix,,,,,0.0,2,16,0.0,Kick Sauber,0.0,16,5
ZHO,2024,Miami Grand Prix,,,,,0.0,2,20,0.0,Kick Sauber,0.0,14,7
PIA,2024,Miami Grand Prix,,,,,0.0,2,6,0.0,McLaren,0.0,13,8
RUS,2024,Miami Grand Prix,,,,,0.0,2,9,0.0,Mercedes,0.0,8,13
LEC,2024,Miami Grand Prix,,,,,0.0,2,2,0.0,Ferrari,0.0,3,18
RIC,2024,Miami Grand Prix,,,,,0.0,2,18,0.0,RB,0.0,15,6
PER,2024,Miami Grand Prix,,,,,0.0,2,4,0.0,Red Bull Racing,0.0,4,17
TSU,2024,Miami Grand Prix,,,,,0.0,2,11,0.0,RB,0.0,7,14
GAS,2024,Miami Grand Prix,,,,,0.0,2,8,0.0,Alpine,0.0,12,9
VER,2024,Miami Grand Prix,,,,,0.0,2,1,0.0,Red Bull Racing,0.0,2,19
SAI,2024,Miami Grand Prix,,,,,0.0,2,3,0.0,Ferrari,0.0,5,16
STR,2024,Miami Grand Prix,,,,,0.0,2,12,0.0,Aston Martin,0.0,17,4
HUL,2024,Miami Grand Prix,,,,,0.0,2,10,0.0,Haas F1 Team,0.0,11,10
ALB,2024,Miami Grand Prix,,,,,0.0,2,14,0.0,Williams,0.0,18,3
NOR,2024,Miami Grand Prix,,,,,0.0,2,5,0.0,McLaren,0.0,1,20
HAM,2024,Emilia Romagna Grand Prix,,,,,0.0,4,8,0.0,Mercedes,0.0,6,15
MAG,2024,Emilia Romagna Grand Prix,,,,0.896,0.1792,4,19,0.0,Haas F1 Team,0.0896,12,9
OCO,2024,Emilia Romagna Grand Prix,,,,,0.0,4,12,0.0,Alpine,0.0,14,7
SAR,2024,Emilia Romagna Grand Prix,,,,,0.0,4,17,0.0,Williams,0.0,17,4
ALO,2024,Emilia Romagna Grand Prix,,,,,0.0,4,20,0.0,Aston Martin,0.0,19,2
BOT,2024,Emilia Romagna Grand Prix,,,,,0.0,4,16,0.0,Kick Sauber,0.0,18,3
ZHO,2024,Emilia Romagna Grand Prix,,,,,0.0,4,18,0.0,Kick Sauber,0.0,15,6
PIA,2024,Emilia Romagna Grand Prix,,,,,0.0,4,2,0.0,McLaren,0.0,4,17
RUS,2024,Emilia Romagna Grand Prix,,,,,0.0,4,6,0.0,Mercedes,0.0,7,14
LEC,2024,Emilia Romagna Grand Prix,,,,,0.0,4,4,0.0,Ferrari,0.0,3,18
RIC,2024,Emilia Romagna Grand Prix,,,,,0.0,4,10,0.0,RB,0.0,13,8
PER,2024,Emilia Romagna Grand Prix,,,,,0.0,4,11,0.0,Red Bull Racing,0.0,8,13
TSU,2024,Emilia Romagna Grand Prix,,,,,0.0,4,7,0.0,RB,0.0,10,11
GAS,2024,Emilia Romagna Grand Prix,,,,,0.0,4,14,0.0,Alpine,0.0,16,5
VER,2024,Emilia Romagna Grand Prix,,,,,0.0,4,1,0.0,Red Bull Racing,0.0,1,20
SAI,2024,Emilia Romagna Grand Prix,,,,,0.0,4,5,0.0,Ferrari,0.0,5,16
STR,2024,Emilia Romagna Grand Prix,,,,,0.0,4,13,0.0,Aston Martin,0.0,9,12
HUL,2024,Emilia Romagna Grand Prix,,,,,0.0,4,9,0.0,Haas F1 Team,0.0896,11,10
ALB,2024,Emilia Romagna Grand Prix,,,,,0.0,4,15,0.0,Williams,0.0,20,1
NOR,2024,Emilia Romagna Grand Prix,,,,,0.0,4,3,0.0,McLaren,0.0,2,19
HAM,2024,Monaco Grand Prix,,,,,0.0,4,7,0.0,Mercedes,0.0,7,14
MAG,2024,Monaco Grand Prix,,,,,0.0,4,15,0.0,Haas F1 Team,0.0,20,1
OCO,2024,Monaco Grand Prix,,,,,0.0,4,11,0.0,Alpine,0.0,17,4
SAR,2024,Monaco Grand Prix,,,,,0.0,4,17,0.0,Williams,0.0,15,6
ALO,2024,Monaco Grand Prix,,,,,0.0,4,16,0.0,Aston Martin,0.0,11,10
BOT,2024,Monaco Grand Prix,,,,,0.0,4,19,0.0,Kick Sauber,0.0,13,8
ZHO,2024,Monaco Grand Prix,,,,,0.0,4,20,0.0,Kick Sauber,0.0,16,5
PIA,2024,Monaco Grand Prix,,,,,0.0,4,2,0.0,McLaren,0.0,2,19
RUS,2024,Monaco Grand Prix,,,,,0.0,4,5,0.0,Mercedes,0.0,5,16
LEC,2024,Monaco Grand Prix,,,,,0.0,4,1,0.0,Ferrari,0.0,1,20
RIC,2024,Monaco Grand Prix,,,,,0.0,4,13,0.0,RB,0.0,12,9
PER,2024,Monaco Grand Prix,,,,,0.0,4,18,0.0,Red Bull Racing,0.0,18,3
TSU,2024,Monaco Grand Prix,,,,,0.0,4,8,0.0,RB,0.0,8,13
GAS,2024,Monaco Grand Prix,,,,,0.0,4,9,0.0,Alpine,0.0,10,11
VER,2024,Monaco Grand Prix,,,,,0.0,4,6,0.0,Red Bull Racing,0.0,6,15
SAI,2024,Monaco Grand Prix,,,,,0.0,4,3,0.0,Ferrari,0.0,3,18
STR,2024,Monaco Grand Prix,,,,,0.0,4,14,0.0,Aston Martin,0.0,14,7
HUL,2024,Monaco Grand Prix,,,,,0.0,4,12,0.0,Haas F1 Team,0.0,19,2
ALB,2024,Monaco Grand Prix,,,,,0.0,4,10,0.0,Williams,0.0,9,12
NOR,2024,Monaco Grand Prix,,,,,0.0,4,4,0.0,McLaren,0.0,4,17
HAM,2024,Canadian Grand Prix,,,,,0.0,4,2,0.0,Mercedes,0.0,4,17
MAG,2024,Canadian Grand Prix,,,,,0.0,4,14,0.0,Haas F1 Team,0.0,12,9
OCO,2024,Canadian Grand Prix,,,,4.1265,0.8253,4,18,0.0,Alpine,0.4126,10,11
SAR,2024,Canadian Grand Prix,,,,,0.0,4,13,0.0,Williams,0.0,20,1
ALO,2024,Canadian Grand Prix,,,,,0.0,4,7,0.0,Aston Martin,0.0,6,15
BOT,2024,Canadian Grand Prix,,,,,0.0,4,17,0.0,Kick Sauber,0.0,13,8
ZHO,2024,Canadian Grand Prix,,,,,0.0,4,20,0.0,Kick Sauber,0.0,15,6
PIA,2024,Canadian Grand Prix,,,,,0.0,4,5,0.0,McLaren,0.0,5,16
RUS,2024,Canadian Grand Prix,,,,,0.0,4,1,0.0,Mercedes,0.0,3,18
LEC,2024,Canadian Grand Prix,,,,,0.0,4,11,0.0,Ferrari,0.0,19,2
RIC,2024,Canadian Grand Prix,,,,,0.0,4,6,0.0,RB,0.0,8,13
PER,2024,Canadian Grand Prix,,,,,0.0,4,16,0.0,Red Bull Racing,0.0,18,3
TSU,2024,Canadian Grand Prix,,,,,0.0,4,8,0.0,RB,0.0,14,7
GAS,2024,Canadian Grand Prix,,,,,0.0,4,15,0.0,Alpine,0.4126,9,12
VER,2024,Canadian Grand Prix,,,,,0.0,4,3,0.0,Red Bull Racing,0.0,1,20
SAI,2024,Canadian Grand Prix,,,,,0.0,4,12,0.0,Ferrari,0.0,16,5
STR,2024,Canadian Grand Prix,,,,,0.0,4,10,0.0,Aston Martin,0.0,7,14
HUL,2024,Canadian Grand Prix,,,,,0.0,4,19,0.0,Haas F1 Team,0.0,11,10
ALB,2024,Canadian Grand Prix,,,,,0.0,4,9,0.0,Williams,0.0,17,4
NOR,2024,Canadian Grand Prix,,,,,0.0,4,4,0.0,McLaren,0.0,2,19
HAM,2024,Spanish Grand Prix,,,,,0.0,4,3,0.0,Mercedes,0.0,3,18
MAG,2024,Spanish Grand Prix,,,,,0.0,4,16,0.0,Haas F1 Team,0.1198,17,4
OCO,2024,Spanish Grand Prix,,,,,0.0,4,10,0.0,Alpine,0.0,10,11
SAR,2024,Spanish Grand Prix,,,,,0.0,4,20,0.0,Williams,0.0,20,1
ALO,2024,Spanish Grand Prix,,,,,0.0,4,11,0.0,Aston Martin,0.0,12,9
BOT,2024,Spanish Grand Prix,,,,,0.0,4,12,0.0,Kick Sauber,0.0,16,5
ZHO,2024,Spanish Grand Prix,,,,,0.0,4,15,0.0,Kick Sauber,0.0,13,8
PIA,2024,Spanish Grand Prix,,,,,0.0,4,8,0.0,McLaren,0.0,7,14
RUS,2024,Spanish Grand Prix,,,,,0.0,4,4,0.0,Mercedes,0.0,4,17
LEC,2024,Spanish Grand Prix,,,,,0.0,4,5,0.0,Ferrari,0.0,5,16
RIC,2024,Spanish Grand Prix,,,,,0.0,4,18,0.0,RB,0.0,15,6
PER,2024,Spanish Grand Prix,,,,,0.0,4,9,0.0,Red Bull Racing,0.0,8,13
TSU,2024,Spanish Grand Prix,,,,,0.0,4,17,0.0,RB,0.0,19,2
GAS,2024,Spanish Grand Prix,,,,,0.0,4,7,0.0,Alpine,0.0,9,12
VER,2024,Spanish Grand Prix,,,,,0.0,4,2,0.0,Red Bull Racing,0.0,1,20
SAI,2024,Spanish Grand Prix,,,,,0.0,4,6,0.0,Ferrari,0.0,6,15
STR,2024,Spanish Grand Prix,,,,,0.0,4,14,0.0,Aston Martin,0.0,14,7
HUL,2024,Spanish Grand Prix,,,,1.1975,0.2395,4,13,0.0,Haas F1 Team,0.1198,11,10
ALB,2024,Spanish Grand Prix,,,,,0.0,4,19,0.0,Williams,0.0,18,3
NOR,2024,Spanish Grand Prix,,,,,0.0,4,1,0.0,McLaren,0.0,2,19
HAM,2024,Austrian Grand Prix,,,,,0.0,2,6,0.0,Mercedes,0.0,4,17
MAG,2024,Austrian Grand Prix,,,,,0.0,2,13,0.0,Haas F1 Team,0.0,8,13
OCO,2024,Austrian Grand Prix,,,,,0.0,2,10,0.0,Alpine,0.0,12,9
SAR,2024,Austrian Grand Prix,,,,,0.0,2,19,0.0,Williams,0.0,19,2
ALO,2024,Austrian Grand Prix,,,,,0.0,2,15,0.0,Aston Martin,0.0,18,3
BOT,2024,Austrian Grand Prix,,,,,0.0,2,18,0.0,Kick Sauber,0.0,16,5
ZHO,2024,Austrian Grand Prix,,,,,0.0,2,20,0.0,Kick Sauber,0.0,17,4
PIA,2024,Austrian Grand Prix,,,,,0.0,2,3,0.0,McLaren,0.0,2,19
RUS,2024,Austrian Grand Prix,,,,,0.0,2,4,0.0,Mercedes,0.0,1,20
LEC,2024,Austrian Grand Prix,,,,,0.0,2,7,0.0,Ferrari,0.0,11,10
RIC,2024,Austrian Grand Prix,,,,,0.0,2,11,0.0,RB,0.0,9,12
PER,2024,Austrian Grand Prix,,,,,0.0,2,8,0.0,Red Bull Racing,0.0,7,14
TSU,2024,Austrian Grand Prix,,,,,0.0,2,14,0.0,RB,0.0,14,7
GAS,2024,Austrian Grand Prix,,,,,0.0,2,12,0.0,Alpine,0.0,10,11
VER,2024,Austrian Grand Prix,,,,,0.0,2,1,0.0,Red Bull Racing,0.0,5,16
SAI,2024,Austrian Grand Prix,,,,,0.0,2,5,0.0,Ferrari,0.0,3,18
STR,2024,Austrian Grand Prix,,,,,0.0,2,17,0.0,Aston Martin,0.0,13,8
HUL,2024,Austrian Grand Prix,,,,,0.0,2,9,0.0,Haas F1 Team,0.0,6,15
ALB,2024,Austrian Grand Prix,,,,,0.0,2,16,0.0,Williams,0.0,15,6
NOR,2024,Austrian Grand Prix,,,,,0.0,2,2,0.0,McLaren,0.0,20,1
HAM,2024,British Grand Prix,,,,,0.0,4,2,0.0,Mercedes,0.0,1,20
MAG,2024,British Grand Prix,,,,0.608,0.1216,4,17,0.0,Haas F1 Team,0.0608,12,9
OCO,2024,British Grand Prix,,,,,0.0,4,18,0.0,Alpine,0.7323,16,5
SAR,2024,British Grand Prix,,,,0.608,0.1216,4,12,0.0,Williams,0.0608,11,10
ALO,2024,British Grand Prix,,,,,0.0,4,10,0.0,Aston Martin,0.0,8,13
BOT,2024,British Grand Prix,,,,,0.0,4,16,0.0,Kick Sauber,0.0,15,6
ZHO,2024,British Grand Prix,,,,,0.0,4,14,0.0,Kick Sauber,0.0,18,3
PIA,2024,British Grand Prix,,,,,0.0,4,5,0.0,McLaren,0.0,4,17
RUS,2024,British Grand Prix,,,,,0.0,4,1,0.0,Mercedes,0.0,19,2
LEC,2024,British Grand Prix,,,,,0.0,4,11,0.0,Ferrari,0.0,14,7
RIC,2024,British Grand Prix,,,,,0.0,4,15,0.0,RB,0.0,13,8
PER,2024,British Grand Prix,,,,0.608,0.1216,4,19,0.0,Red Bull Racing,0.0608,17,4
TSU,2024,British Grand Prix,,,,,0.0,4,13,0.0,RB,0.0,10,11
GAS,2024,British Grand Prix,,2.686,,0.608,1.4646,4,20,1.039,Alpine,0.7323,20,1
VER,2024,British Grand Prix,,,,,0.0,4,4,0.0,Red Bull Racing,0.0608,2,19
SAI,2024,British Grand Prix,,,,,0.0,4,7,0.0,Ferrari,0.0,5,16
STR,2024,British Grand Prix,,,,,0.0,4,8,0.0,Aston Martin,0.0,7,14
HUL,2024,British Grand Prix,,,,,0.0,4,6,0.0,Haas F1 Team,0.0608,6,15
ALB,2024,British Grand Prix,,,,,0.0,4,9,0.0,Williams,0.0608,9,12
NOR,2024,British Grand Prix,,,,,0.0,4,3,0.0,McLaren,0.0,3,18
HAM,2024,Hungarian Grand Prix,,,,,0.0,4,5,0.0,Mercedes,0.0,3,18
MAG,2024,Hungarian Grand Prix,,,,,0.0,4,15,0.0,Haas F1 Team,0.065,15,6
OCO,2024,Hungarian Grand Prix,,,,,0.0,4,19,0.0,Alpine,0.0,18,3
SAR,2024,Hungarian Grand Prix,,,,,0.0,4,14,0.0,Williams,0.0,17,4
ALO,2024,Hungarian Grand Prix,,,,,0.0,4,7,0.0,Aston Martin,0.0,11,10
BOT,2024,Hungarian Grand Prix,,,,,0.0,4,12,0.0,Kick Sauber,0.0,16,5
ZHO,2024,Hungarian Grand Prix,,,,,0.0,4,18,0.0,Kick Sauber,0.0,19,2
PIA,2024,Hungarian Grand Prix,,,,,0.0,4,2,0.0,McLaren,0.0,1,20
RUS,2024,Hungarian Grand Prix,,,,,0.0,4,17,0.0,Mercedes,0.0,8,13
LEC,2024,Hungarian Grand Prix,,,,,0.0,4,6,0.0,Ferrari,0.0,4,17
RIC,2024,Hungarian Grand Prix,,,,,0.0,4,10,0.0,RB,0.0,12,9
PER,2024,Hungarian Grand Prix,,,,,0.0,4,16,0.0,Red Bull Racing,0.0,7,14
TSU,2024,Hungarian Grand Prix,,,,,0.0,4,9,0.0,RB,0.0,9,12
GAS,2024,Hungarian Grand Prix,,,,,0.0,4,20,0.0,Alpine,0.0,20,1
VER,2024,Hungarian Grand Prix,,,,,0.0,4,3,0.0,Red Bull Racing,0.0,5,16
SAI,2024,Hungarian Grand Prix,,,,,0.0,4,4,0.0,Ferrari,0.0,6,15
STR,2024,Hungarian Grand Prix,,,,,0.0,4,8,0.0,Aston Martin,0.0,10,11
HUL,2024,Hungarian Grand Prix,,,,0.6505,0.1301,4,11,0.0,Haas F1 Team,0.065,13,8
ALB,2024,Hungarian Grand Prix,,,,,0.0,4,13,0.0,Williams,0.0,14,7
NOR,2024,Hungarian Grand Prix,,,,,0.0,4,1,0.0,McLaren,0.0,2,19
HAM,2024,Belgian Grand Prix,,,,,0.0,4,4,0.0,Mercedes,0.0,1,20
MAG,2024,Belgian Grand Prix,,,,,0.0,4,17,0.0,Haas F1 Team,0.0,14,7
OCO,2024,Belgian Grand Prix,,,,1.327,0.2654,4,10,0.0,Alpine,0.1327,9,12
SAR,2024,Belgian Grand Prix,,,,,0.0,4,19,0.0,Williams,0.0,17,4
ALO,2024,Belgian Grand Prix,,,,,0.0,4,9,0.0,Aston Martin,0.0,8,13
BOT,2024,Belgian Grand Prix,,,,,0.0,4,14,0.0,Kick Sauber,0.0,15,6
ZHO,2024,Belgian Grand Prix,,,,,0.0,4,20,0.0,Kick Sauber,0.0,19,2
PIA,2024,Belgian Grand Prix,,,,,0.0,4,6,0.0,McLaren,0.0,2,19
RUS,2024,Belgian Grand Prix,,,,,0.0,4,7,0.0,Mercedes,0.0,20,1
LEC,2024,Belgian Grand Prix,,,,,0.0,4,2,0.0,Ferrari,1.3845,3,18
RIC,2024,Belgian Grand Prix,,,,,0.0,4,13,0.0,RB,0.0,10,11
PER,2024,Belgian Grand Prix,,,,,0.0,4,3,0.0,Red Bull Racing,0.0,7,14
TSU,2024,Belgian Grand Prix,,,,,0.0,4,18,0.0,RB,0.0,16,5
GAS,2024,Belgian Grand Prix,,,,,0.0,4,12,0.0,Alpine,0.1327,13,8
VER,2024,Belgian Grand Prix,,,,,0.0,4,1,0.0,Red Bull Racing,0.0,4,17
SAI,2024,Belgian Grand Prix,,5.538,,,2.769,4,8,0.0,Ferrari,1.3845,6,15
STR,2024,Belgian Grand Prix,,,,,0.0,4,15,0.0,Aston Martin,0.0,11,10
HUL,2024,Belgian Grand Prix,,,,,0.0,4,16,0.0,Haas F1 Team,0.0,18,3
ALB,2024,Belgian Grand Prix,,,,,0.0,4,11,0.0,Williams,0.0,12,9
NOR,2024,Belgian Grand Prix,,,,,0.0,4,5,0.0,McLaren,0.0,5,16
HAM,2024,Dutch Grand Prix,,,,,0.0,4,12,0.0,Mercedes,0.0,8,13
MAG,2024,Dutch Grand Prix,,,,,0.0,4,15,0.0,Haas F1 Team,0.0,18,3
OCO,2024,Dutch Grand Prix,,,,,0.0,4,17,0.0,Alpine,0.0,15,6
